#SOGS aggregate measurements CSV
#Aggregated on 2014-01-31_14:58:32.904672
MC,	Date,	Time,	Battery,	Pressure,	LDR,	CH(5524),	NH3(5914),	NO2(2714),	CO(5525),	O3(2610),	MC,	Date,	Time,	Temperature(K),	Humidity(%RH),	Bus(V)
gas,	2014-01-31,	14:51:00.811318,	1.25,	4.921875,	4.921875,	0.0,	0.078125,	0.859375,	4.375,	1.015625,	THB,	2014-01-31,	14:51:00.854451,	290.67098828749664,	38.26190476190476,	4.921875
gas,	2014-01-31,	14:51:01.844636,	0.3125,	4.921875,	4.921875,	0.0,	0.078125,	0.859375,	4.375,	1.015625,	THB,	2014-01-31,	14:51:01.886137,	293.3647317912637,	43.22222222222222,	4.921875
gas,	2014-01-31,	14:51:02.874027,	0.3125,	4.921875,	4.921875,	0.0,	0.078125,	0.859375,	4.375,	1.015625,	THB,	2014-01-31,	14:51:02.917124,	293.3647317912637,	43.22222222222222,	4.921875
gas,	2014-01-31,	14:51:03.906231,	0.3125,	4.921875,	4.921875,	0.0,	0.078125,	0.859375,	4.375,	1.015625,	THB,	2014-01-31,	14:51:03.953632,	293.3647317912637,	43.22222222222222,	4.921875
gas,	2014-01-31,	14:51:04.941578,	0.3125,	4.921875,	4.921875,	0.0,	0.078125,	0.859375,	4.375,	1.015625,	THB,	2014-01-31,	14:51:04.984746,	292.6957893437804,	41.982142857142854,	4.921875
gas,	2014-01-31,	14:51:05.974291,	0.3125,	4.921875,	4.921875,	0.0,	0.078125,	0.859375,	4.375,	1.015625,	THB,	2014-01-31,	14:51:06.017310,	293.3647317912637,	43.22222222222222,	4.921875
gas,	2014-01-31,	14:51:07.012149,	0.3125,	4.921875,	4.921875,	0.0,	0.078125,	0.859375,	4.453125,	1.015625,	THB,	2014-01-31,	14:51:07.055741,	293.3647317912637,	43.22222222222222,	4.921875
gas,	2014-01-31,	14:51:08.046742,	0.3125,	4.921875,	4.921875,	0.0,	0.078125,	0.859375,	4.375,	1.015625,	THB,	2014-01-31,	14:51:08.089808,	293.3647317912637,	43.22222222222222,	4.921875
gas,	2014-01-31,	14:51:09.077373,	0.3125,	4.921875,	4.921875,	0.0,	0.078125,	0.859375,	4.375,	1.015625,	THB,	2014-01-31,	14:51:09.121608,	293.3647317912637,	43.22222222222222,	4.921875
gas,	2014-01-31,	14:51:45.424735,	1.25,	4.921875,	4.921875,	0.0,	0.078125,	0.859375,	4.375,	1.015625,	THB,	2014-01-31,	14:51:45.468517,	290.67098828749664,	38.26190476190476,	4.921875
gas,	2014-01-31,	14:51:46.459585,	0.3125,	4.921875,	4.921875,	0.0,	0.078125,	0.859375,	4.375,	1.015625,	THB,	2014-01-31,	14:51:46.503225,	293.3647317912637,	43.22222222222222,	4.921875
gas,	2014-01-31,	14:51:47.493560,	0.3125,	4.921875,	4.921875,	0.0,	0.078125,	0.859375,	4.375,	1.015625,	THB,	2014-01-31,	14:51:47.538521,	293.3647317912637,	43.22222222222222,	4.921875
gas,	2014-01-31,	14:51:48.532664,	0.3125,	4.921875,	4.921875,	0.0,	0.078125,	0.859375,	4.375,	1.015625,	THB,	2014-01-31,	14:51:48.575525,	293.3647317912637,	43.22222222222222,	4.921875
gas,	2014-01-31,	14:51:49.564125,	0.3125,	4.921875,	4.921875,	0.0,	0.078125,	0.859375,	4.375,	1.015625,	THB,	2014-01-31,	14:51:49.607666,	293.3647317912637,	43.22222222222222,	4.921875
gas,	2014-01-31,	14:54:44.345303,	1.25,	4.921875,	4.921875,	0.0,	0.078125,	0.78125,	4.375,	1.015625,	THB,	2014-01-31,	14:54:44.345383,	290.67098828749664,	38.26190476190476,	4.921875
gas,	2014-01-31,	14:54:45.359856,	0.3125,	4.921875,	4.921875,	0.0,	0.078125,	0.78125,	4.375,	1.015625,	THB,	2014-01-31,	14:54:45.390193,	294.03128900717473,	44.46230158730158,	4.921875
gas,	2014-01-31,	14:54:46.370897,	0.3125,	4.921875,	4.921875,	0.0,	0.078125,	0.78125,	4.375,	1.015625,	THB,	2014-01-31,	14:54:46.401567,	293.3647317912637,	43.22222222222222,	4.921875
gas,	2014-01-31,	14:54:47.387664,	0.3125,	4.921875,	4.921875,	0.0,	0.078125,	0.78125,	4.375,	1.015625,	THB,	2014-01-31,	14:54:47.418605,	293.3647317912637,	43.22222222222222,	4.921875
gas,	2014-01-31,	14:54:48.402896,	0.3125,	4.921875,	4.921875,	0.0,	0.078125,	0.78125,	4.375,	1.015625,	THB,	2014-01-31,	14:54:48.433499,	293.3647317912637,	43.22222222222222,	4.921875
gas,	2014-01-31,	14:54:49.420212,	0.3125,	4.921875,	4.921875,	0.0,	0.078125,	0.78125,	4.375,	1.015625,	THB,	2014-01-31,	14:54:49.450846,	294.03128900717473,	44.46230158730158,	4.921875
